Source;Target;Weight;Type
1;32;1.0;undirected
1;69;1.0;undirected
1;76;2.0;undirected
2;100;6.0;undirected
2;136;1.0;undirected
2;186;1.0;undirected
2;233;2.0;undirected
2;254;1.0;undirected
3;33;3.0;undirected
3;85;1.0;undirected
3;98;1.0;undirected
4;255;2.0;undirected
6;284;1.0;undirected
6;308;1.0;undirected
7;271;2.0;undirected
10;12;4.0;undirected
11;105;1.0;undirected
11;231;2.0;undirected
12;10;4.0;undirected
12;128;2.0;undirected
13;44;2.0;undirected
13;50;2.0;undirected
13;121;1.0;undirected
14;21;4.0;undirected
14;67;1.0;undirected
14;104;1.0;undirected
14;114;2.0;undirected
14;339;1.0;undirected
16;17;6.0;undirected
16;21;4.0;undirected
16;32;1.0;undirected
16;79;1.0;undirected
16;84;5.0;undirected
16;112;1.0;undirected
16;277;1.0;undirected
16;286;1.0;undirected
17;16;6.0;undirected
17;21;3.0;undirected
17;84;2.0;undirected
17;112;1.0;undirected
17;272;4.0;undirected
17;277;1.0;undirected
18;19;5.0;undirected
18;36;5.0;undirected
18;57;5.0;undirected
18;196;2.0;undirected
19;18;5.0;undirected
19;36;2.0;undirected
19;57;8.0;undirected
19;120;2.0;undirected
19;196;2.0;undirected
20;208;1.0;undirected
20;263;1.0;undirected
20;288;1.0;undirected
20;367;7.0;undirected
21;14;4.0;undirected
21;16;4.0;undirected
21;17;3.0;undirected
21;67;1.0;undirected
21;75;1.0;undirected
21;84;3.0;undirected
21;104;1.0;undirected
21;112;1.0;undirected
21;113;1.0;undirected
21;277;1.0;undirected
21;283;1.0;undirected
21;339;1.0;undirected
22;28;4.0;undirected
22;47;3.0;undirected
22;141;1.0;undirected
22;264;1.0;undirected
22;353;1.0;undirected
23;41;1.0;undirected
23;47;1.0;undirected
23;72;2.0;undirected
23;76;1.0;undirected
23;120;1.0;undirected
23;267;1.0;undirected
23;294;1.0;undirected
25;119;1.0;undirected
25;121;1.0;undirected
27;34;1.0;undirected
27;95;2.0;undirected
27;99;2.0;undirected
28;22;4.0;undirected
28;47;3.0;undirected
28;141;1.0;undirected
29;79;2.0;undirected
29;230;2.0;undirected
30;102;1.0;undirected
30;124;1.0;undirected
31;82;1.0;undirected
32;1;1.0;undirected
32;16;1.0;undirected
33;3;3.0;undirected
33;79;1.0;undirected
33;85;5.0;undirected
33;102;2.0;undirected
33;272;1.0;undirected
34;27;1.0;undirected
34;95;2.0;undirected
35;69;1.0;undirected
35;79;1.0;undirected
36;18;5.0;undirected
36;19;2.0;undirected
36;57;2.0;undirected
36;196;3.0;undirected
37;68;7.0;undirected
37;90;2.0;undirected
37;226;1.0;undirected
38;48;1.0;undirected
41;23;1.0;undirected
41;89;1.0;undirected
41;267;8.0;undirected
41;274;5.0;undirected
41;276;2.0;undirected
43;64;1.0;undirected
43;69;1.0;undirected
44;13;2.0;undirected
44;50;4.0;undirected
44;88;2.0;undirected
44;90;3.0;undirected
44;117;1.0;undirected
44;234;1.0;undirected
47;22;3.0;undirected
47;23;1.0;undirected
47;28;3.0;undirected
47;63;1.0;undirected
47;67;1.0;undirected
47;107;1.0;undirected
47;117;1.0;undirected
47;127;2.0;undirected
47;141;1.0;undirected
47;276;1.0;undirected
47;294;1.0;undirected
48;38;1.0;undirected
49;129;2.0;undirected
50;13;2.0;undirected
50;44;4.0;undirected
50;88;2.0;undirected
50;90;2.0;undirected
52;63;2.0;undirected
52;67;1.0;undirected
52;120;3.0;undirected
52;276;2.0;undirected
56;71;1.0;undirected
56;238;1.0;undirected
57;18;5.0;undirected
57;19;8.0;undirected
57;36;2.0;undirected
57;120;2.0;undirected
57;196;2.0;undirected
59;94;2.0;undirected
61;69;4.0;undirected
61;74;5.0;undirected
61;83;1.0;undirected
61;102;1.0;undirected
61;162;1.0;undirected
61;181;1.0;undirected
61;230;3.0;undirected
62;83;1.0;undirected
62;101;3.0;undirected
63;47;1.0;undirected
63;52;2.0;undirected
63;107;1.0;undirected
63;120;2.0;undirected
63;125;1.0;undirected
63;276;8.0;undirected
63;294;4.0;undirected
64;43;1.0;undirected
64;69;3.0;undirected
64;84;1.0;undirected
64;112;1.0;undirected
64;230;1.0;undirected
66;92;1.0;undirected
66;140;1.0;undirected
67;14;1.0;undirected
67;21;1.0;undirected
67;47;1.0;undirected
67;52;1.0;undirected
67;104;1.0;undirected
67;119;1.0;undirected
68;37;7.0;undirected
68;77;1.0;undirected
68;80;1.0;undirected
68;90;2.0;undirected
68;145;1.0;undirected
69;1;1.0;undirected
69;35;1.0;undirected
69;43;1.0;undirected
69;61;4.0;undirected
69;64;3.0;undirected
69;72;1.0;undirected
69;86;1.0;undirected
69;102;1.0;undirected
69;103;1.0;undirected
69;230;4.0;undirected
69;289;1.0;undirected
71;56;1.0;undirected
71;266;2.0;undirected
72;23;2.0;undirected
72;69;1.0;undirected
72;103;5.0;undirected
72;227;1.0;undirected
73;107;1.0;undirected
73;114;1.0;undirected
73;261;3.0;undirected
74;61;5.0;undirected
75;21;1.0;undirected
76;1;2.0;undirected
76;23;1.0;undirected
77;68;1.0;undirected
77;83;1.0;undirected
79;16;1.0;undirected
79;29;2.0;undirected
79;33;1.0;undirected
79;35;1.0;undirected
79;84;1.0;undirected
79;102;1.0;undirected
79;122;2.0;undirected
79;124;1.0;undirected
79;230;2.0;undirected
80;68;1.0;undirected
80;103;2.0;undirected
80;113;1.0;undirected
80;284;3.0;undirected
82;31;1.0;undirected
83;61;1.0;undirected
83;62;1.0;undirected
83;77;1.0;undirected
83;275;3.0;undirected
84;16;5.0;undirected
84;17;2.0;undirected
84;21;3.0;undirected
84;64;1.0;undirected
84;79;1.0;undirected
84;112;1.0;undirected
85;3;1.0;undirected
85;33;5.0;undirected
85;102;1.0;undirected
86;69;1.0;undirected
86;109;2.0;undirected
88;44;2.0;undirected
88;50;2.0;undirected
89;41;1.0;undirected
89;118;1.0;undirected
89;267;1.0;undirected
90;37;2.0;undirected
90;44;3.0;undirected
90;50;2.0;undirected
90;68;2.0;undirected
91;114;1.0;undirected
91;244;1.0;undirected
92;66;1.0;undirected
94;59;2.0;undirected
94;100;1.0;undirected
94;224;6.0;undirected
95;27;2.0;undirected
95;34;2.0;undirected
95;99;2.0;undirected
95;123;1.0;undirected
96;193;1.0;undirected
96;232;1.0;undirected
96;269;1.0;undirected
96;277;1.0;undirected
96;281;1.0;undirected
96;348;1.0;undirected
98;3;1.0;undirected
99;27;2.0;undirected
99;95;2.0;undirected
99;123;1.0;undirected
100;2;6.0;undirected
100;94;1.0;undirected
101;62;3.0;undirected
101;285;4.0;undirected
102;30;1.0;undirected
102;33;2.0;undirected
102;61;1.0;undirected
102;69;1.0;undirected
102;79;1.0;undirected
102;85;1.0;undirected
102;115;4.0;undirected
103;69;1.0;undirected
103;72;5.0;undirected
103;80;2.0;undirected
103;113;1.0;undirected
104;14;1.0;undirected
104;21;1.0;undirected
104;67;1.0;undirected
105;11;1.0;undirected
107;47;1.0;undirected
107;63;1.0;undirected
107;73;1.0;undirected
107;244;1.0;undirected
107;276;1.0;undirected
107;277;1.0;undirected
107;294;2.0;undirected
109;86;2.0;undirected
109;114;1.0;undirected
112;16;1.0;undirected
112;17;1.0;undirected
112;21;1.0;undirected
112;64;1.0;undirected
112;84;1.0;undirected
112;113;1.0;undirected
112;272;2.0;undirected
113;21;1.0;undirected
113;80;1.0;undirected
113;103;1.0;undirected
113;112;1.0;undirected
113;283;1.0;undirected
113;284;1.0;undirected
114;14;2.0;undirected
114;73;1.0;undirected
114;91;1.0;undirected
114;109;1.0;undirected
114;240;3.0;undirected
114;244;1.0;undirected
115;102;4.0;undirected
116;129;1.0;undirected
117;44;1.0;undirected
117;47;1.0;undirected
118;89;1.0;undirected
119;25;1.0;undirected
119;67;1.0;undirected
119;121;3.0;undirected
119;306;1.0;undirected
120;19;2.0;undirected
120;23;1.0;undirected
120;52;3.0;undirected
120;57;2.0;undirected
120;63;2.0;undirected
120;276;2.0;undirected
120;294;1.0;undirected
121;13;1.0;undirected
121;25;1.0;undirected
121;119;3.0;undirected
122;79;2.0;undirected
123;95;1.0;undirected
123;99;1.0;undirected
124;30;1.0;undirected
124;79;1.0;undirected
124;238;1.0;undirected
124;259;1.0;undirected
125;63;1.0;undirected
125;276;1.0;undirected
127;47;2.0;undirected
128;12;2.0;undirected
129;49;2.0;undirected
129;116;1.0;undirected
134;235;1.0;undirected
136;2;1.0;undirected
140;66;1.0;undirected
141;22;1.0;undirected
141;28;1.0;undirected
141;47;1.0;undirected
145;68;1.0;undirected
147;169;2.0;undirected
150;180;1.0;undirected
150;292;1.0;undirected
155;233;1.0;undirected
162;61;1.0;undirected
169;147;2.0;undirected
180;150;1.0;undirected
181;61;1.0;undirected
186;2;1.0;undirected
186;254;1.0;undirected
193;96;1.0;undirected
196;18;2.0;undirected
196;19;2.0;undirected
196;36;3.0;undirected
196;57;2.0;undirected
200;234;1.0;undirected
208;20;1.0;undirected
216;218;1.0;undirected
218;216;1.0;undirected
224;94;6.0;undirected
225;238;1.0;undirected
226;37;1.0;undirected
227;72;1.0;undirected
230;29;2.0;undirected
230;61;3.0;undirected
230;64;1.0;undirected
230;69;4.0;undirected
230;79;2.0;undirected
230;290;2.0;undirected
231;11;2.0;undirected
232;96;1.0;undirected
233;2;2.0;undirected
233;155;1.0;undirected
234;44;1.0;undirected
234;200;1.0;undirected
235;134;1.0;undirected
235;344;1.0;undirected
238;56;1.0;undirected
238;124;1.0;undirected
238;225;1.0;undirected
239;291;1.0;undirected
240;114;3.0;undirected
241;341;1.0;undirected
244;91;1.0;undirected
244;107;1.0;undirected
244;114;1.0;undirected
244;294;1.0;undirected
249;298;2.0;undirected
251;261;1.0;undirected
254;2;1.0;undirected
254;186;1.0;undirected
255;4;2.0;undirected
259;124;1.0;undirected
261;73;3.0;undirected
261;251;1.0;undirected
263;20;1.0;undirected
264;22;1.0;undirected
266;71;2.0;undirected
267;23;1.0;undirected
267;41;8.0;undirected
267;89;1.0;undirected
267;274;5.0;undirected
269;96;1.0;undirected
271;7;2.0;undirected
272;17;4.0;undirected
272;33;1.0;undirected
272;112;2.0;undirected
274;41;5.0;undirected
274;267;5.0;undirected
275;83;3.0;undirected
276;41;2.0;undirected
276;47;1.0;undirected
276;52;2.0;undirected
276;63;8.0;undirected
276;107;1.0;undirected
276;120;2.0;undirected
276;125;1.0;undirected
276;294;4.0;undirected
277;16;1.0;undirected
277;17;1.0;undirected
277;21;1.0;undirected
277;96;1.0;undirected
277;107;1.0;undirected
281;96;1.0;undirected
281;289;2.0;undirected
281;290;1.0;undirected
283;21;1.0;undirected
283;113;1.0;undirected
284;6;1.0;undirected
284;80;3.0;undirected
284;113;1.0;undirected
285;101;4.0;undirected
286;16;1.0;undirected
288;20;1.0;undirected
288;367;1.0;undirected
289;69;1.0;undirected
289;281;2.0;undirected
289;290;2.0;undirected
290;230;2.0;undirected
290;281;1.0;undirected
290;289;2.0;undirected
291;239;1.0;undirected
292;150;1.0;undirected
294;23;1.0;undirected
294;47;1.0;undirected
294;63;4.0;undirected
294;107;2.0;undirected
294;120;1.0;undirected
294;244;1.0;undirected
294;276;4.0;undirected
298;249;2.0;undirected
306;119;1.0;undirected
308;6;1.0;undirected
339;14;1.0;undirected
339;21;1.0;undirected
341;241;1.0;undirected
344;235;1.0;undirected
348;96;1.0;undirected
353;22;1.0;undirected
367;20;7.0;undirected
367;288;1.0;undirected
